x, y, z
-0.846130,-1.913746,26.968506
-0.808154,-0.129529,27.550581
-0.122859,-1.822848,27.272858
-1.142455,0.332879,28.881161
-1.131886,-1.326378,28.025103
-1.035916,-0.072030,23.996319
-1.032457,0.103053,23.998398
-1.044349,-0.192935,24.046162
-1.704816,-0.483774,25.459063
-1.666428,0.718580,25.551786
-1.691395,0.411874,25.583647
-1.673038,-0.455996,25.418743
-1.767216,-0.455079,25.579277
-1.754289,0.745348,25.691191
-1.739378,-0.528493,25.517767
-1.641191,-1.527013,25.331877
-1.524667,0.717696,25.679611
-1.570392,0.611438,25.838217
-1.519319,0.620388,25.688395
-1.843007,-1.682613,25.686159
-1.424213,0.569345,26.047440
-1.767777,-1.585036,26.253809
-1.752271,-0.944904,26.471434
-1.474586,0.620884,26.308969
-1.667274,-0.883841,26.303806
-1.595896,0.366177,26.554068
-0.980904,-2.076084,26.466818
-1.088003,-1.199712,26.867167
-1.647545,-0.859563,26.889208
-1.691710,-1.968899,27.148172
-1.108985,0.351581,27.399052
-1.160548,0.361327,27.524818
-1.156501,0.378062,27.602028
-1.108603,0.357874,27.419569
-1.262744,-0.388002,28.182364
-1.156906,-0.350080,27.695210
-0.873995,-2.103191,27.172972
-1.467615,-1.381413,27.692530
-1.025174,-0.212433,27.983374
-0.894081,-2.401681,27.749968
-1.890244,-2.532314,27.323576
-0.716735,0.312118,27.756563
-1.935577,-0.918604,27.472210
-0.946538,0.225647,27.780262
-1.211065,-1.553357,28.868231
-2.216040,-2.062704,27.810614
-0.827121,-0.126936,27.734497
-1.802006,-2.436406,27.303511
-1.910294,-2.584507,27.374804
0.049872,0.116856,28.408554
-1.859584,-2.540398,27.462887
-1.011813,-0.198173,27.893492
-0.994306,0.231262,28.018303
-0.894067,0.142544,27.568037
-1.744453,0.043089,28.076674
-0.976746,-0.205039,27.740377
-1.000691,0.229856,28.045843
-1.027552,-0.208384,27.954180
-2.281308,-1.411464,28.196699
-0.867731,-0.054501,28.017002
-2.206047,-1.371085,27.989639
-1.051480,-1.343415,27.816952
-2.088567,-1.831138,27.557724
-1.755585,-0.266911,27.587526
0.015652,0.092981,27.699369
-2.274670,-0.011340,28.900406
-1.641116,0.249723,27.941956
-1.042806,-1.228757,27.570835
-1.054044,0.262144,28.297430
-1.084963,-1.279619,27.768497
-1.126105,-0.002880,24.133816
-1.704484,0.721763,25.579136
-1.731714,-0.517148,25.416105
-1.777749,-0.550670,25.487818
-1.620955,0.721272,25.531317
-1.741897,-0.396707,25.445148
-1.725016,-0.513366,25.399008
-1.104438,-0.243336,23.956064
-1.374898,-0.913106,24.313026
-1.339723,-0.813782,24.322935
-1.376671,-0.833216,24.383478
-1.643026,-1.721109,24.814228
-1.162321,0.723031,24.472275
-1.637138,-1.716468,24.804205
-0.563597,-1.477431,24.400938
-0.573144,-1.497735,24.445129
-0.744176,-1.862960,24.593378
-0.554800,-1.460517,24.362148
-0.439852,-1.507405,24.334505
-0.659467,-1.532515,24.506302
-0.662059,-1.528359,24.506144
-0.653636,-1.524144,24.484495
-1.597116,-1.309276,24.795656
-1.604848,-1.627086,24.956661
-1.564786,-1.472815,25.127026
-1.577645,0.676974,25.529024
-1.544730,-1.421152,25.148666
-1.371072,-1.856535,25.151314
-1.563226,-2.157292,25.785210
-1.660576,-1.773522,25.388653
-1.974994,-2.075821,25.974394
-0.845694,-1.840414,25.403620
-1.691205,-1.272948,26.188835
-1.577838,-2.017749,26.050999
0.131994,0.236326,26.244190
0.131946,0.228765,26.151316
-0.058398,0.281534,26.587702
-0.053489,0.280602,26.474771
-0.056815,0.279964,26.461348
-0.834755,0.415476,27.068928
-0.847666,-1.249366,27.354353
-0.061027,0.287789,26.632570
-0.872616,-2.342382,26.537884
-1.154348,0.392676,26.763792
-0.802331,-1.997990,27.176180
-1.604163,-0.672120,27.225809
-0.301881,-2.350472,27.146896
-1.248825,0.762454,24.610430
-1.291770,0.850306,24.748659
-1.470553,-1.577450,24.512190
-1.217503,0.739313,24.630909
-0.586056,-1.534213,24.527637
-1.451774,0.689845,25.109880
-1.724034,-1.438922,25.053907
-1.517445,0.723516,25.249870
-1.878913,0.369688,27.659048
-1.125853,-1.922037,27.332861
-2.673459,-1.151277,29.777212
-2.258284,-1.490167,28.488609
-2.051471,-0.872214,28.209629
-0.416191,-1.976740,27.446831
-2.266756,-1.425326,28.534239
-1.142070,0.064203,29.065008
-1.115232,0.015954,28.863138
-2.410209,-1.413337,28.825207
-1.467986,-1.384154,29.211056
-1.077560,-1.249081,28.194157
-1.420651,-1.339245,28.991278
-1.210600,0.138727,29.339218
-1.197773,0.117238,29.208515
-1.616969,-1.936794,27.419777
-1.200258,0.125812,29.265816
-1.420650,0.597148,26.194115
-0.685156,0.367283,26.097683
-0.818056,-1.829054,26.767635
-0.997599,-1.931804,26.959570
-2.064617,-1.256899,27.699633
-1.943889,0.372261,27.606728
-2.008486,-1.170437,27.614904
-1.039171,-1.229045,27.997818
-1.019979,0.213225,28.541153
-0.707930,-0.171000,28.496326
-1.006114,0.208389,28.493458
-0.531086,-1.338587,28.017225
-1.027046,-1.309233,28.189762
-1.537565,-1.469387,28.815334
-2.179498,-2.655489,28.417099
-1.100138,0.042630,28.748976
-0.978006,-1.510914,28.765406
-1.162821,0.046246,29.095957
-1.680372,-1.553140,29.143332
-2.101134,-0.681817,28.948231
-1.524728,-1.408001,29.069820
-1.622896,-0.074504,29.000563
-1.656938,-1.541166,29.183390
-1.494732,-1.404357,29.338959
-1.559018,-1.450558,29.236431
-1.686123,-0.195276,29.147919
-1.685896,-1.558440,29.190683
-1.222880,-0.121501,29.112562
-2.725194,0.095159,32.343758
-2.216070,-0.709259,29.290152
-1.859115,-0.029215,29.412106
-2.181986,0.002163,30.477407
-1.848502,-0.028691,29.355623
-1.198861,0.130605,29.249752
-2.274870,-0.339750,29.726885
-1.207716,0.121298,29.267229
-0.937307,-0.126077,31.128571
-1.315774,0.524084,26.335060
-1.071405,-2.002043,27.054344
-2.211851,-2.031637,27.822905
